scenario,BESS,P_inv_cont,R_ac_dc,EtoP,SOC_min,SOC_max,SOC_0,tariff_key,tariff_prices,load_profile,wholesale_profile,AS_profiles,win_opt,win_actioned,time-step_h,day_prog,P_cap,DC_fudge,project_year_cap,export_cap,verbose,T_K,EOL,opt_type,formulation,time-step_h,ARD,ARU,WRD,WRU,CER,cap_init,o_m_cost,may_maint
80kW_2h_rules_based_P_cap_30pc,Reed2016,80,1,2,0.15,0.85,0.25,tariff_SCE_TOU8_option_B.csv,2019_tariff_SCE_TOU8_option_B.csv,SOCAL_site_281_local_time.csv,LMP_node_HARBORG_7_N101_2019_treated.csv,AS_CAISO_EXP_2019_treated.csv,24,24,0.25,1,0.3,1,1,0,1,293,0.8,LP,Fisher-LP,0.25,0.31,0.28,0.79,0.62,1,0.84,10,1
80kW_4h_rules_based_P_cap_30pc,Reed2016,80,1,4,0.15,0.85,0.25,tariff_SCE_TOU8_option_B.csv,2019_tariff_SCE_TOU8_option_B.csv,SOCAL_site_281_local_time.csv,LMP_node_HARBORG_7_N101_2019_treated.csv,AS_CAISO_EXP_2019_treated.csv,24,24,0.25,1,0.3,1,1,0,1,293,0.8,LP,Fisher-LP,0.25,0.31,0.28,0.79,0.62,1,0.84,10,1
