mm,wk_wknd,hh,k,u
6,wk,2,1,3
6,wk,3,1,3
6,wk,4,1,3
6,wk,5,1,3
6,wk,6,1,3
6,wk,7,1,3
6,wk,8,1,4
6,wk,9,2,4
6,wk,10,2,4
6,wk,11,2,4
6,wk,12,3,5
6,wk,13,3,5
6,wk,14,3,5
6,wk,15,3,5
6,wk,16,3,5
6,wk,17,3,5
6,wk,18,2,4
6,wk,19,2,4
6,wk,20,2,4
6,wk,21,2,4
6,wk,22,2,4
6,wk,23,1,3
6,wknd,0,1,3
6,wknd,1,1,3
6,wknd,2,1,3
6,wknd,3,1,3
6,wknd,4,1,3
6,wknd,5,1,3
6,wknd,6,1,3
6,wknd,7,1,3
6,wknd,8,1,3
6,wknd,9,1,3
6,wknd,10,1,3
6,wknd,11,1,3
6,wknd,12,1,3
6,wknd,13,1,3
6,wknd,14,1,3
6,wknd,15,1,3
6,wknd,16,1,3
6,wknd,17,1,3
6,wknd,18,1,3
6,wknd,19,1,3
6,wknd,20,1,3
6,wknd,21,1,3
6,wknd,22,1,3
6,wknd,23,1,3
7,wk,0,1,3
7,wk,1,1,3
7,wk,2,1,3
7,wk,3,1,3
7,wk,4,1,3
7,wk,5,1,3
7,wk,6,1,3
7,wk,7,1,3
7,wk,8,1,4
7,wk,9,2,4
7,wk,10,2,4
7,wk,11,2,4
7,wk,12,3,5
7,wk,13,3,5
7,wk,14,3,5
7,wk,15,3,5
7,wk,16,3,5
7,wk,17,3,5
7,wk,18,2,4
7,wk,19,2,4
7,wk,20,2,4
7,wk,21,2,4
7,wk,22,2,4
7,wk,23,1,3
7,wknd,0,1,3
7,wknd,1,1,3
7,wknd,2,1,3
7,wknd,3,1,3
7,wknd,4,1,3
7,wknd,5,1,3
7,wknd,6,1,3
7,wknd,7,1,3
7,wknd,8,1,3
7,wknd,9,1,3
7,wknd,10,1,3
7,wknd,11,1,3
7,wknd,12,1,3
7,wknd,13,1,3
7,wknd,14,1,3
7,wknd,15,1,3
7,wknd,16,1,3
7,wknd,17,1,3
7,wknd,18,1,3
7,wknd,19,1,3
7,wknd,20,1,3
7,wknd,21,1,3
7,wknd,22,1,3
7,wknd,23,1,3
8,wk,0,1,3
8,wk,1,1,3
8,wk,2,1,3
8,wk,3,1,3
8,wk,4,1,3
8,wk,5,1,3
8,wk,6,1,3
8,wk,7,1,3
8,wk,8,1,4
8,wk,9,2,4
8,wk,10,2,4
8,wk,11,2,4
8,wk,12,3,5
8,wk,13,3,5
8,wk,14,3,5
8,wk,15,3,5
8,wk,16,3,5
8,wk,17,3,5
8,wk,18,2,4
8,wk,19,2,4
8,wk,20,2,4
8,wk,21,2,4
8,wk,22,2,4
8,wk,23,1,3
8,wknd,0,1,3
8,wknd,1,1,3
8,wknd,2,1,3
8,wknd,3,1,3
8,wknd,4,1,3
8,wknd,5,1,3
8,wknd,6,1,3
8,wknd,7,1,3
8,wknd,8,1,3
8,wknd,9,1,3
8,wknd,10,1,3
8,wknd,11,1,3
8,wknd,12,1,3
8,wknd,13,1,3
8,wknd,14,1,3
8,wknd,15,1,3
8,wknd,16,1,3
8,wknd,17,1,3
8,wknd,18,1,3
8,wknd,19,1,3
8,wknd,20,1,3
8,wknd,21,1,3
8,wknd,22,1,3
8,wknd,23,1,3
9,wk,0,1,3
9,wk,1,1,3
9,wk,2,1,3
9,wk,3,1,3
9,wk,4,1,3
9,wk,5,1,3
9,wk,6,1,3
9,wk,7,1,3
9,wk,8,1,4
9,wk,9,2,4
9,wk,10,2,4
9,wk,11,2,4
9,wk,12,3,5
9,wk,13,3,5
9,wk,14,3,5
9,wk,15,3,5
9,wk,16,3,5
9,wk,17,3,5
9,wk,18,2,4
9,wk,19,2,4
9,wk,20,2,4
9,wk,21,2,4
9,wk,22,2,4
9,wk,23,1,3
9,wknd,0,1,3
9,wknd,1,1,3
9,wknd,2,1,3
9,wknd,3,1,3
9,wknd,4,1,3
9,wknd,5,1,3
9,wknd,6,1,3
9,wknd,7,1,3
9,wknd,8,1,3
9,wknd,9,1,3
9,wknd,10,1,3
9,wknd,11,1,3
9,wknd,12,1,3
9,wknd,13,1,3
9,wknd,14,1,3
9,wknd,15,1,3
